question_id;question;question_variant;original_model_id;name;organization_id;category
q001;How many tasks are included in this model? (Model ID: 1f1b01e0a85340689b6df314b32bb4b6);What is the total number of tasks present in this model? (Model ID: 1f1b01e0a85340689b6df314b32bb4b6);1f1b01e0a85340689b6df314b32bb4b6;Choreographiediagramm;1897d78c800546e686ccc4150c0c644d;general
q002;Is there any task that is not reachable from the initial node in this model? (Model ID: 1f1b01e0a85340689b6df314b32bb4b6);Are there any tasks unreachable from the start node in this model? (Model ID: 1f1b01e0a85340689b6df314b32bb4b6);1f1b01e0a85340689b6df314b32bb4b6;Choreographiediagramm;1897d78c800546e686ccc4150c0c644d;general
q003;Is there any parallelism in this model? (Model ID: 1f1b01e0a85340689b6df314b32bb4b6);Does this model contain any parallel gateways? (Model ID: 1f1b01e0a85340689b6df314b32bb4b6);1f1b01e0a85340689b6df314b32bb4b6;Choreographiediagramm;1897d78c800546e686ccc4150c0c644d;general
q004;Which model contains a task called 'Anzeigeformular ausfüllen'?;In which model can we find a task named 'Anzeigeformualr ausfüllen'?;1f1b01e0a85340689b6df314b32bb4b6;Choreographiediagramm;1897d78c800546e686ccc4150c0c644d;model-specific
q005;In this model, is the 'Anfrage für Formular' task always reachable from the start node? (Model ID: 1f1b01e0a85340689b6df314b32bb4b6);Is the task 'Anfrage fü rFormular' always reachable from the initial node in this model? (Model ID: 1f1b01e0a85340689b6df314b32bb4b6);1f1b01e0a85340689b6df314b32bb4b6;Choreographiediagramm;1897d78c800546e686ccc4150c0c644d;model-specific
q006;Is there any cyclic behaviour in this model? (Model ID: 2d225c9ff86b443c9f6bc6cfe687afbc);Does this model exhibit any cyclic behavior? (Model ID: 2d225c9ff86b443c9f6bc6cfe687afbc);2d225c9ff86b443c9f6bc6cfe687afbc;Choreographiediagramm (Kopie);674625c2db74458a82383c4a716c4e5c;general
q007;In this model, will the choreography always reach an end node? (Model ID: 2d225c9ff86b443c9f6bc6cfe687afbc);Will every execution path in this model eventually terminate at an end event? (Model ID: 2d225c9ff86b443c9f6bc6cfe687afbc);2d225c9ff86b443c9f6bc6cfe687afbc;Choreographiediagramm (Kopie);674625c2db74458a82383c4a716c4e5c;general
q008;How many end events are in this model? (Model ID: 2d225c9ff86b443c9f6bc6cfe687afbc);What is the number of end events in this model? (Model ID: 2d225c9ff86b443c9f6bc6cfe687afbc);2d225c9ff86b443c9f6bc6cfe687afbc;Choreographiediagramm (Kopie);674625c2db74458a82383c4a716c4e5c;general
q009;Which model has a task named 'Eingang bestätigen'?;Which model includes a task called 'Eingang bsetätigen'?;2d225c9ff86b443c9f6bc6cfe687afbc;Choreographiediagramm (Kopie);674625c2db74458a82383c4a716c4e5c;model-specific
q010;In this model, can we always execute the task 'Probe ausliefern'? (Model ID: 2d225c9ff86b443c9f6bc6cfe687afbc);Is the task 'Probe aulsiefern' always executable in this model? (Model ID: 2d225c9ff86b443c9f6bc6cfe687afbc);2d225c9ff86b443c9f6bc6cfe687afbc;Choreographiediagramm (Kopie);674625c2db74458a82383c4a716c4e5c;model-specific
q011;How many sequence flows are in this model? (Model ID: 1dccc40d34ef40f9b36123e2fbca1a63);What is the total count of sequence flows in this model? (Model ID: 1dccc40d34ef40f9b36123e2fbca1a63);1dccc40d34ef40f9b36123e2fbca1a63;C-A Interaction;4240aba74b0242b9b361e5dd3650655a;general
q012;List all messages from this model! (Model ID: 1dccc40d34ef40f9b36123e2fbca1a63);What are all the messages defined in this model? (Model ID: 1dccc40d34ef40f9b36123e2fbca1a63);1dccc40d34ef40f9b36123e2fbca1a63;C-A Interaction;4240aba74b0242b9b361e5dd3650655a;general
q013;List all participants in this model! (Model ID: 1dccc40d34ef40f9b36123e2fbca1a63);Who are the participants in this model? (Model ID: 1dccc40d34ef40f9b36123e2fbca1a63);1dccc40d34ef40f9b36123e2fbca1a63;C-A Interaction;4240aba74b0242b9b361e5dd3650655a;general
q014;Which model has a message called 'Transportation provisioning'?;In which model is there a message named 'Transportatio nprovisioning'?;1dccc40d34ef40f9b36123e2fbca1a63;C-A Interaction;4240aba74b0242b9b361e5dd3650655a;model-specific
q015;In this model, is the 'Yusen (RRC UK)' node always reachable from 'WHC (RRC UK)' node? (Model ID: 1dccc40d34ef40f9b36123e2fbca1a63);Can we always reach 'Yusen (RRC UK)' from 'WHC (RRC UK)' in this model? (Model ID: 1dccc40d34ef40f9b36123e2fbca1a63);1dccc40d34ef40f9b36123e2fbca1a63;C-A Interaction;4240aba74b0242b9b361e5dd3650655a;model-specific
q016;Is there an exclusive gateway in this model? (Model ID: 5ee15f85aeb74d8d9e31df0e41fea6fe);Does this model include any exclusive gateways? (Model ID: 5ee15f85aeb74d8d9e31df0e41fea6fe);5ee15f85aeb74d8d9e31df0e41fea6fe;Bike rental spezzato;67e70970f0404a7e87122700ad26d87b;general
q017;How many messages are in this model? (Model ID: 5ee15f85aeb74d8d9e31df0e41fea6fe);What is the total number of messages in this model? (Model ID: 5ee15f85aeb74d8d9e31df0e41fea6fe);5ee15f85aeb74d8d9e31df0e41fea6fe;Bike rental spezzato;67e70970f0404a7e87122700ad26d87b;general
q018;In this model, which tasks have relations to multiple messages? (Model ID: 5ee15f85aeb74d8d9e31df0e41fea6fe);Which tasks in this model are associated with more than one message? (Model ID: 5ee15f85aeb74d8d9e31df0e41fea6fe);5ee15f85aeb74d8d9e31df0e41fea6fe;Bike rental spezzato;67e70970f0404a7e87122700ad26d87b;general
q019;Which model contains a task called 'InsuranceReq==true'?;In which model can we find a task named 'InsuranceeRq==true'?;5ee15f85aeb74d8d9e31df0e41fea6fe;Bike rental spezzato;67e70970f0404a7e87122700ad26d87b;model-specific
q020;In this model which task comes between 'Estimate insurance cost' and 'Send receipt'? (Model ID: 5ee15f85aeb74d8d9e31df0e41fea6fe);What task is located between 'Estimate inusrance cost' and 'Send receipt' in this model? (Model ID: 5ee15f85aeb74d8d9e31df0e41fea6fe);5ee15f85aeb74d8d9e31df0e41fea6fe;Bike rental spezzato;67e70970f0404a7e87122700ad26d87b;model-specific
q021;Are all the tasks executable in the operation of the process in this model? (Model ID: 3c08e52742754da6a4065fc5787131dc);Can every task in this model be executed during process operation? (Model ID: 3c08e52742754da6a4065fc5787131dc);3c08e52742754da6a4065fc5787131dc;BallBearing RESTful choreography (three servers);fcb09822983f4723b0799941e76e9c60;general
q022;Do you have any suggestions to improve this model? (Model ID: 3c08e52742754da6a4065fc5787131dc);What improvements would you recommend for this model? (Model ID: 3c08e52742754da6a4065fc5787131dc);3c08e52742754da6a4065fc5787131dc;BallBearing RESTful choreography (three servers);fcb09822983f4723b0799941e76e9c60;general
q023;In this model, how many ways are there for the choreography to execute? (Model ID: 3c08e52742754da6a4065fc5787131dc);How many distinct execution paths does the choreography in this model have? (Model ID: 3c08e52742754da6a4065fc5787131dc);3c08e52742754da6a4065fc5787131dc;BallBearing RESTful choreography (three servers);fcb09822983f4723b0799941e76e9c60;general
q024;Which model has a task named 'Manufacturer'?;Which model includes a task called 'Manufatcurer'?;3c08e52742754da6a4065fc5787131dc;BallBearing RESTful choreography (three servers);fcb09822983f4723b0799941e76e9c60;model-specific
q025;In this model, which tasks have 'Payment Org.' as a participant? (Model ID: 3c08e52742754da6a4065fc5787131dc);Which tasks in this model have 'Paymen tOrg.' as a participant? (Model ID: 3c08e52742754da6a4065fc5787131dc);3c08e52742754da6a4065fc5787131dc;BallBearing RESTful choreography (three servers);fcb09822983f4723b0799941e76e9c60;model-specific
q026;In this model, which tasks have 2 related messages? (Model ID: 1cd93309017949fdbebf0f7d7ea50b4a);Which tasks in this model have exactly two associated messages? (Model ID: 1cd93309017949fdbebf0f7d7ea50b4a);1cd93309017949fdbebf0f7d7ea50b4a;299 chereography;a8bf59f9e11d4a99bf1494e94c571041;general
q027;How many start events does this model have? (Model ID: 1cd93309017949fdbebf0f7d7ea50b4a);What is the number of start events in this model? (Model ID: 1cd93309017949fdbebf0f7d7ea50b4a);1cd93309017949fdbebf0f7d7ea50b4a;299 chereography;a8bf59f9e11d4a99bf1494e94c571041;general
q028;Does this model contain any event-based gateways? (Model ID: 1cd93309017949fdbebf0f7d7ea50b4a);Are there any event-based gateways in this model? (Model ID: 1cd93309017949fdbebf0f7d7ea50b4a);1cd93309017949fdbebf0f7d7ea50b4a;299 chereography;a8bf59f9e11d4a99bf1494e94c571041;general
q029;Which model has a message called 'staff access user'?;In which model is there a message named 'staff acecss user'?;1cd93309017949fdbebf0f7d7ea50b4a;299 chereography;a8bf59f9e11d4a99bf1494e94c571041;model-specific
q030;What messages are related to the 'Car is returned' node in this model? (Model ID: 1cd93309017949fdbebf0f7d7ea50b4a);Which messages are associated with the 'Car is erturned' node in this model? (Model ID: 1cd93309017949fdbebf0f7d7ea50b4a);1cd93309017949fdbebf0f7d7ea50b4a;299 chereography;a8bf59f9e11d4a99bf1494e94c571041;model-specific
q031;How many participants are in this model? (Model ID: 0ba102e82f484407a4dbcb9bcafdd920);What is the total number of participants in this model? (Model ID: 0ba102e82f484407a4dbcb9bcafdd920);0ba102e82f484407a4dbcb9bcafdd920;A2 Section 1 choreo;f6349eddf2cd4db2807e484375e66687;general
q032;List all tasks of this model! (Model ID: 0ba102e82f484407a4dbcb9bcafdd920);What are all the tasks defined in this model? (Model ID: 0ba102e82f484407a4dbcb9bcafdd920);0ba102e82f484407a4dbcb9bcafdd920;A2 Section 1 choreo;f6349eddf2cd4db2807e484375e66687;general
q033;How many tasks are included in this model? (Model ID: 0ba102e82f484407a4dbcb9bcafdd920);What is the total number of tasks present in this model? (Model ID: 0ba102e82f484407a4dbcb9bcafdd920);0ba102e82f484407a4dbcb9bcafdd920;A2 Section 1 choreo;f6349eddf2cd4db2807e484375e66687;general
q034;Which model contains a task called 'Submit Online Application'?;In which model can we find a task named 'Submit Onlin eApplication'?;0ba102e82f484407a4dbcb9bcafdd920;A2 Section 1 choreo;f6349eddf2cd4db2807e484375e66687;model-specific
q035;In this model, can the 'Forward Application' task happen before the 'Email Results of Academic Review' task? (Model ID: 0ba102e82f484407a4dbcb9bcafdd920);Is it possible for 'Forward Application' to be executed before 'Email Results of Academic Review' in this model? (Model ID: 0ba102e82f484407a4dbcb9bcafdd920);0ba102e82f484407a4dbcb9bcafdd920;A2 Section 1 choreo;f6349eddf2cd4db2807e484375e66687;model-specific
q036;Is there any task that is not reachable from the initial node in this model? (Model ID: 5a8e825c3a9a4049b67ab53c2ba7abc8);Are there any tasks unreachable from the start node in this model? (Model ID: 5a8e825c3a9a4049b67ab53c2ba7abc8);5a8e825c3a9a4049b67ab53c2ba7abc8;Chapter 4 exercise 4.33;b486f1aca9474f0c8db51f071f775934;general
q037;Is there any parallelism in this model? (Model ID: 5a8e825c3a9a4049b67ab53c2ba7abc8);Does this model contain any parallel gateways? (Model ID: 5a8e825c3a9a4049b67ab53c2ba7abc8);5a8e825c3a9a4049b67ab53c2ba7abc8;Chapter 4 exercise 4.33;b486f1aca9474f0c8db51f071f775934;general
q038;Is there any cyclic behaviour in this model? (Model ID: 5a8e825c3a9a4049b67ab53c2ba7abc8);Does this model exhibit any cyclic behavior? (Model ID: 5a8e825c3a9a4049b67ab53c2ba7abc8);5a8e825c3a9a4049b67ab53c2ba7abc8;Chapter 4 exercise 4.33;b486f1aca9474f0c8db51f071f775934;general
q039;Which model has a task named 'modification to natural environment'?;Which model includes a task called 'modification to ntaural environment'?;5a8e825c3a9a4049b67ab53c2ba7abc8;Chapter 4 exercise 4.33;b486f1aca9474f0c8db51f071f775934;model-specific
q040;In this model, how many tasks are between 'Request a land alteration permit' and 'Grant license'? (Model ID: 5a8e825c3a9a4049b67ab53c2ba7abc8);How many tasks lie between 'Request a land atleration permit' and 'Grant license' in this model? (Model ID: 5a8e825c3a9a4049b67ab53c2ba7abc8);5a8e825c3a9a4049b67ab53c2ba7abc8;Chapter 4 exercise 4.33;b486f1aca9474f0c8db51f071f775934;model-specific
q041;In this model, will the choreography always reach an end node? (Model ID: 4e8df28e6d9f4afe970d06522542e830);Will every execution path in this model eventually terminate at an end event? (Model ID: 4e8df28e6d9f4afe970d06522542e830);4e8df28e6d9f4afe970d06522542e830;12345678;c41660388a04449a995dccf97d894f46;general
q042;How many end events are in this model? (Model ID: 4e8df28e6d9f4afe970d06522542e830);What is the number of end events in this model? (Model ID: 4e8df28e6d9f4afe970d06522542e830);4e8df28e6d9f4afe970d06522542e830;12345678;c41660388a04449a995dccf97d894f46;general
q043;How many sequence flows are in this model? (Model ID: 4e8df28e6d9f4afe970d06522542e830);What is the total count of sequence flows in this model? (Model ID: 4e8df28e6d9f4afe970d06522542e830);4e8df28e6d9f4afe970d06522542e830;12345678;c41660388a04449a995dccf97d894f46;general
q044;Which model has a message called 'Suchanfrage'?;In which model is there a message named 'Suchafnrage'?;4e8df28e6d9f4afe970d06522542e830;12345678;c41660388a04449a995dccf97d894f46;model-specific
q045;In this model, is the 'Buch in Warenkorb' task always reachable from the start node? (Model ID: 4e8df28e6d9f4afe970d06522542e830);Is the task 'Buch in aWrenkorb' always reachable from the initial node in this model? (Model ID: 4e8df28e6d9f4afe970d06522542e830);4e8df28e6d9f4afe970d06522542e830;12345678;c41660388a04449a995dccf97d894f46;model-specific
q046;List all messages from this model! (Model ID: 6c9090aeef814120944b4885c7343b63);What are all the messages defined in this model? (Model ID: 6c9090aeef814120944b4885c7343b63);6c9090aeef814120944b4885c7343b63;Jane Doe_ZAMAWIANIE_JEDZENIA_ZA_POŚREDNICTWEM_SERWISU_PYSZNE.PL_Z_WYKORZYSTANIEM_USŁUG_UBER_EATS(choreography);009c2b4d8d3c4a01914963ada47c167e;general
q047;List all participants in this model! (Model ID: 6c9090aeef814120944b4885c7343b63);Who are the participants in this model? (Model ID: 6c9090aeef814120944b4885c7343b63);6c9090aeef814120944b4885c7343b63;Jane Doe_ZAMAWIANIE_JEDZENIA_ZA_POŚREDNICTWEM_SERWISU_PYSZNE.PL_Z_WYKORZYSTANIEM_USŁUG_UBER_EATS(choreography);009c2b4d8d3c4a01914963ada47c167e;general
q048;Is there an exclusive gateway in this model? (Model ID: 6c9090aeef814120944b4885c7343b63);Does this model include any exclusive gateways? (Model ID: 6c9090aeef814120944b4885c7343b63);6c9090aeef814120944b4885c7343b63;Jane Doe_ZAMAWIANIE_JEDZENIA_ZA_POŚREDNICTWEM_SERWISU_PYSZNE.PL_Z_WYKORZYSTANIEM_USŁUG_UBER_EATS(choreography);009c2b4d8d3c4a01914963ada47c167e;general
q049;Which model contains a task called 'Take order from the restaurant & deliver it'?;In which model can we find a task named 'Take order from the rsetaurant & deliver it'?;6c9090aeef814120944b4885c7343b63;Jane Doe_ZAMAWIANIE_JEDZENIA_ZA_POŚREDNICTWEM_SERWISU_PYSZNE.PL_Z_WYKORZYSTANIEM_USŁUG_UBER_EATS(choreography);009c2b4d8d3c4a01914963ada47c167e;model-specific
q050;In this model, can we always execute the task 'Complaint rejected'? (Model ID: 6c9090aeef814120944b4885c7343b63);Is the task 'Complaintr ejected' always executable in this model? (Model ID: 6c9090aeef814120944b4885c7343b63);6c9090aeef814120944b4885c7343b63;Jane Doe_ZAMAWIANIE_JEDZENIA_ZA_POŚREDNICTWEM_SERWISU_PYSZNE.PL_Z_WYKORZYSTANIEM_USŁUG_UBER_EATS(choreography);009c2b4d8d3c4a01914963ada47c167e;model-specific
