question id;question;question_variant;original_model_id;name;organization_id;category
q001;How many tasks are included in this model? (Model ID: 2f572d235e784b838fa0d7d2a56748ab);What is the total number of tasks in this model? (Model ID: 2f572d235e784b838fa0d7d2a56748ab);2f572d235e784b838fa0d7d2a56748ab;A-A 2;4240aba74b0242b9b361e5dd3650655a;general
q002;Is there any task that is not reachable from the initial node in this model? (Model ID: 2f572d235e784b838fa0d7d2a56748ab);Are there any tasks unreachable from the start node in this model? (Model ID: 2f572d235e784b838fa0d7d2a56748ab);2f572d235e784b838fa0d7d2a56748ab;A-A 2;4240aba74b0242b9b361e5dd3650655a;general
q003;Which model contains a 'Data analysis' task with participants 'The Client EHQ' and 'The Client ELC'?;What model includes a 'Data enalysis' task with participants 'The Cliemnt EHQ' and 'The lient ELC'?;2f572d235e784b838fa0d7d2a56748ab;A-A 2;4240aba74b0242b9b361e5dd3650655a;model-specific
q004;In this model which task comes between 'Process provisioning' and 'Operations provisioning'? (Model ID: 2f572d235e784b838fa0d7d2a56748ab);Within this model what task lies between 'Process provisionig' and 'Oeprations provisioning'? (Model ID: 2f572d235e784b838fa0d7d2a56748ab);2f572d235e784b838fa0d7d2a56748ab;A-A 2;4240aba74b0242b9b361e5dd3650655a;model-specific
q005;In this model which tasks have relations to multiple messages ? (Model ID: 2f572d235e784b838fa0d7d2a56748ab);Within this model, which tasks are associated with more than one message? (Model ID: 2f572d235e784b838fa0d7d2a56748ab);2f572d235e784b838fa0d7d2a56748ab;A-A 2;4240aba74b0242b9b361e5dd3650655a;general
q006;Is there any task that is not reachable from the initial node in this model? (Model ID: 1ad939eef40c461dafae27f75a0586d3);Are there any tasks unreachable from the start node in this model? (Model ID: 1ad939eef40c461dafae27f75a0586d3);1ad939eef40c461dafae27f75a0586d3;Anfrage Bildungstrüger;f779606d99c140caa915c9f9a1277b9e;general
q007;Is there any parallelism in this model? (Model ID: 1ad939eef40c461dafae27f75a0586d3);Does this model contain any parallel execution? (Model ID: 1ad939eef40c461dafae27f75a0586d3);1ad939eef40c461dafae27f75a0586d3;Anfrage Bildungstrüger;f779606d99c140caa915c9f9a1277b9e;general
q008;Is there any cyclic behaviour in this model? (Model ID: 1ad939eef40c461dafae27f75a0586d3);Does this model exhibit any cyclic behavior? (Model ID: 1ad939eef40c461dafae27f75a0586d3);1ad939eef40c461dafae27f75a0586d3;Anfrage Bildungstrüger;f779606d99c140caa915c9f9a1277b9e;general
q009;Which model contains the task 'Wünsche zusenden'? List the task's participants!;What model includes the task 'Wüncshe zusenden'? List the task's participants!;1ad939eef40c461dafae27f75a0586d3;Anfrage Bildungstrüger;f779606d99c140caa915c9f9a1277b9e;model-specific
q010;Do you have any suggestions to improve this model?  (Model ID: 1ad939eef40c461dafae27f75a0586d3);Can you suggest any improvements for this model?  (Model ID: 1ad939eef40c461dafae27f75a0586d3);1ad939eef40c461dafae27f75a0586d3;Anfrage Bildungstrüger;f779606d99c140caa915c9f9a1277b9e;model-specific
q011;Is  there an exclusive gateway in this model? (Model ID: 2aa476e4bbdf451083ec316570f7a3be);Is  there an exclusive gateway in the model? (Model ID: 2aa476e4bbdf451083ec316570f7a3be);2aa476e4bbdf451083ec316570f7a3be;Koreografija;5e1278d2bfce434b95e80ab3625cdc63;general
q012;In this model, is the 'Opis resenja problema' task always reachable from the start node? (Model ID: 2aa476e4bbdf451083ec316570f7a3be);For this model, is the 'Opis resenja oproblema' task always reachable from the start node? (Model ID: 2aa476e4bbdf451083ec316570f7a3be);2aa476e4bbdf451083ec316570f7a3be;Koreografija;5e1278d2bfce434b95e80ab3625cdc63;model-specific
q013;List all messages from this model! (Model ID: 2aa476e4bbdf451083ec316570f7a3be);Show me every message found in this model! (Model ID: 2aa476e4bbdf451083ec316570f7a3be);2aa476e4bbdf451083ec316570f7a3be;Koreografija;5e1278d2bfce434b95e80ab3625cdc63;general
q014;Is there any parallelism in this model? (Model ID: 2aa476e4bbdf451083ec316570f7a3be);Does this model contain any parallel execution? (Model ID: 2aa476e4bbdf451083ec316570f7a3be);2aa476e4bbdf451083ec316570f7a3be;Koreografija;5e1278d2bfce434b95e80ab3625cdc63;general
q015;Which model has a task named 'Trenutak dobijanjadetaljnog opisa problema'?;What model contains a task called 'Tremnutak dobijanjadetaljnog opisa problema'?;2aa476e4bbdf451083ec316570f7a3be;Koreografija;5e1278d2bfce434b95e80ab3625cdc63;model-specific
q016;In this model, can we always execute the task 'Lasku' after task 'Merkitse varaus'? (Model ID: 6e8e145a4f51488c81c0c89e863a27fa);For this model, is it always possible to perform the task 'Laskku' after task 'Merkitse varus'? (Model ID: 6e8e145a4f51488c81c0c89e863a27fa);6e8e145a4f51488c81c0c89e863a27fa;Koreografiakaavio;23c59f87cf66428d8ec4fca0f936f1f7;model-specific
q017;Which model has a message called 'Asiakas tilaa ruoan'?;What model contains a message named 'Asiakas tiaa ruoan'?;6e8e145a4f51488c81c0c89e863a27fa;Koreografiakaavio;23c59f87cf66428d8ec4fca0f936f1f7;model-specific
q018;How many end events are in this model? (Model ID: 6e8e145a4f51488c81c0c89e863a27fa);What is the number of end events in this model? (Model ID: 6e8e145a4f51488c81c0c89e863a27fa);6e8e145a4f51488c81c0c89e863a27fa;Koreografiakaavio;23c59f87cf66428d8ec4fca0f936f1f7;general
q019;In this model, can we always execute the task 'Ruokailu'? (Model ID: 6e8e145a4f51488c81c0c89e863a27fa);For this model, is it always possible to perform the task 'Ruokkailu'? (Model ID: 6e8e145a4f51488c81c0c89e863a27fa);6e8e145a4f51488c81c0c89e863a27fa;Koreografiakaavio;23c59f87cf66428d8ec4fca0f936f1f7;general
q020;How many sequence flows are in this model? (Model ID: 6e8e145a4f51488c81c0c89e863a27fa);What is the count of sequence flows in this model? (Model ID: 6e8e145a4f51488c81c0c89e863a27fa);6e8e145a4f51488c81c0c89e863a27fa;Koreografiakaavio;23c59f87cf66428d8ec4fca0f936f1f7;model-specific
q021;Is there any cyclic behaviour in this model? (Model ID: 0ae2e7d8093840cc8a65c475b6275cae);Does this model exhibit any cyclic behavior? (Model ID: 0ae2e7d8093840cc8a65c475b6275cae);0ae2e7d8093840cc8a65c475b6275cae;Choreographie Einkauf im Fachhandel;985f88f59e8b4962a0a2c2fec001b6d1;general
q022;In this model, will the choreography always reach an end node? (Model ID: 0ae2e7d8093840cc8a65c475b6275cae);For this model, is it guaranteed that the choreography terminates at an end node? (Model ID: 0ae2e7d8093840cc8a65c475b6275cae);0ae2e7d8093840cc8a65c475b6275cae;Choreographie Einkauf im Fachhandel;985f88f59e8b4962a0a2c2fec001b6d1;general
q023;Which model has a task named 'Bezahlvorgang'?;What model contains a task called 'Bezahlbvorgang'?;0ae2e7d8093840cc8a65c475b6275cae;Choreographie Einkauf im Fachhandel;985f88f59e8b4962a0a2c2fec001b6d1;model-specific
q024;In this model, is the 'Beratung' node always reachable from 'Kaufwunsch' node? (Model ID: 0ae2e7d8093840cc8a65c475b6275cae);For this model, is the 'Beratiung' node always reachable from 'Kaufwunssch' node? (Model ID: 0ae2e7d8093840cc8a65c475b6275cae);0ae2e7d8093840cc8a65c475b6275cae;Choreographie Einkauf im Fachhandel;985f88f59e8b4962a0a2c2fec001b6d1;model-specific
q025;In this  model, is the 'Bezahlvorgang' node always reachable from 'Beratung' node? (Model ID: 0ae2e7d8093840cc8a65c475b6275cae);In this  model, is the 'Bzeahlvorgang' node always reachable from 'Beretung' node? (Model ID: 0ae2e7d8093840cc8a65c475b6275cae);0ae2e7d8093840cc8a65c475b6275cae;Choreographie Einkauf im Fachhandel;985f88f59e8b4962a0a2c2fec001b6d1;model-specific
q026;Is there a model where all tasks have a participant called 'SSP'?;Does any model exist where all tasks have a participant called 'SDSP'?;2d887704e5324e6bb2126cef061e50e9;12345678;c41660388a04449a995dccf97d894f46;model-specific
q027;What messages are related to the 'Get client to add therelevant cost centre' node in this model? (Model ID: 2d887704e5324e6bb2126cef061e50e9);Which messages are connected to the 'Get client to add theerlevant cost centre' node in this model? (Model ID: 2d887704e5324e6bb2126cef061e50e9);2d887704e5324e6bb2126cef061e50e9;12345678;c41660388a04449a995dccf97d894f46;model-specific
q028;Is there any parallelism in this model? (Model ID: 2d887704e5324e6bb2126cef061e50e9);Does this model contain any parallel execution? (Model ID: 2d887704e5324e6bb2126cef061e50e9);2d887704e5324e6bb2126cef061e50e9;12345678;c41660388a04449a995dccf97d894f46;general
q029;In this model, how many tasks are between 'Receive invoice' and 'Check invoice completeness'? (Model ID: 2d887704e5324e6bb2126cef061e50e9);For this model, how many tasks lie between 'Receive invocie' and 'Check inoice completeness'? (Model ID: 2d887704e5324e6bb2126cef061e50e9);2d887704e5324e6bb2126cef061e50e9;12345678;c41660388a04449a995dccf97d894f46;model-specific
q030;How many messages are in this model? (Model ID: 2d887704e5324e6bb2126cef061e50e9);What is the total count of messages in this model? (Model ID: 2d887704e5324e6bb2126cef061e50e9);2d887704e5324e6bb2126cef061e50e9;12345678;c41660388a04449a995dccf97d894f46;general
q031;In this model, will the choreography always reach an end node?  (Model ID: 4ccc3fd711004f519782ac92e58f6ddd);For this model, is it guaranteed that the choreography terminates at an end node?  (Model ID: 4ccc3fd711004f519782ac92e58f6ddd);4ccc3fd711004f519782ac92e58f6ddd;Aufgabe 1: 4 Augen-Prüfung;985f88f59e8b4962a0a2c2fec001b6d1;general
q032;Do you have any suggestions to improve this model? (Model ID: 4ccc3fd711004f519782ac92e58f6ddd);Can you suggest any improvements for this model? (Model ID: 4ccc3fd711004f519782ac92e58f6ddd);4ccc3fd711004f519782ac92e58f6ddd;Aufgabe 1: 4 Augen-Prüfung;985f88f59e8b4962a0a2c2fec001b6d1;general
q033;Is the 'Informieren über Zustimmung' task always reachable in this model? (Model ID: 4ccc3fd711004f519782ac92e58f6ddd);Is the 'Infotrmieren über Zustimmung' task always accessible in this model? (Model ID: 4ccc3fd711004f519782ac92e58f6ddd);4ccc3fd711004f519782ac92e58f6ddd;Aufgabe 1: 4 Augen-Prüfung;985f88f59e8b4962a0a2c2fec001b6d1;model-specific
q034;Which model has a task called 'Informieren über Zustimmung'?;What model includes a task named 'Informieren über Zusitmmung'?;4ccc3fd711004f519782ac92e58f6ddd;Aufgabe 1: 4 Augen-Prüfung;985f88f59e8b4962a0a2c2fec001b6d1;model-specific
q035;List all tasks of this model! (Model ID: 4ccc3fd711004f519782ac92e58f6ddd);Enumerate all the tasks in this model! (Model ID: 4ccc3fd711004f519782ac92e58f6ddd);4ccc3fd711004f519782ac92e58f6ddd;Aufgabe 1: 4 Augen-Prüfung;985f88f59e8b4962a0a2c2fec001b6d1;general
q036;In this model, which tasks have 'Customer' as a participant? (Model ID: 3c1c7ac2bf4042fe9cd4ed34ce14a188);In this model, what tasks include 'Custonmer' as a participant? (Model ID: 3c1c7ac2bf4042fe9cd4ed34ce14a188);3c1c7ac2bf4042fe9cd4ed34ce14a188;4b Choreography AsIs IT Service;90b9c7c3934a4d3f854c1d7990b15213;model-specific
q037;In this model, can the 'Record time andincident report inservice form' task happen before the 'End the call with agood note' task? (Model ID: 3c1c7ac2bf4042fe9cd4ed34ce14a188);For this model, is it possible that the 'Record time andincident report inservice for' task happen before the 'End hte call with agood note' task? (Model ID: 3c1c7ac2bf4042fe9cd4ed34ce14a188);3c1c7ac2bf4042fe9cd4ed34ce14a188;4b Choreography AsIs IT Service;90b9c7c3934a4d3f854c1d7990b15213;model-specific
q038;Which model included a task 'Explain  service Technician about problem'?;What model includes a task 'Ecxplain  service Technician about problem'?;3c1c7ac2bf4042fe9cd4ed34ce14a188;4b Choreography AsIs IT Service;90b9c7c3934a4d3f854c1d7990b15213;model-specific
q039;In this model, is there any task that is not reachable from the initial node? (Model ID: 3c1c7ac2bf4042fe9cd4ed34ce14a188);Within this model, are there tasks that cannot be reached from the start node? (Model ID: 3c1c7ac2bf4042fe9cd4ed34ce14a188);3c1c7ac2bf4042fe9cd4ed34ce14a188;4b Choreography AsIs IT Service;90b9c7c3934a4d3f854c1d7990b15213;general
q040;In this model, which tasks have 2 related messages? (Model ID: 3c1c7ac2bf4042fe9cd4ed34ce14a188);Within this model, what tasks are associated with exactly two messages? (Model ID: 3c1c7ac2bf4042fe9cd4ed34ce14a188);3c1c7ac2bf4042fe9cd4ed34ce14a188;4b Choreography AsIs IT Service;90b9c7c3934a4d3f854c1d7990b15213;general
q041;Is there any parallelism in this model? (Model ID: 0b4394edaa09437d93cc54c78c0180cb);Does this model contain any parallel execution? (Model ID: 0b4394edaa09437d93cc54c78c0180cb);0b4394edaa09437d93cc54c78c0180cb;On Enabling Compliance of Cross-organizational Business Processes Fig. 1. Different levels of compliance rules in a cross-organizational setting (a);c41660388a04449a995dccf97d894f46;general
q042; In this model, is task 'M5' always reachable from the start node? (Model ID: 0b4394edaa09437d93cc54c78c0180cb); For this model, is task 'M5' always reachable from the start node? (Model ID: 0b4394edaa09437d93cc54c78c0180cb);0b4394edaa09437d93cc54c78c0180cb;On Enabling Compliance of Cross-organizational Business Processes Fig. 1. Different levels of compliance rules in a cross-organizational setting (a);c41660388a04449a995dccf97d894f46;model-specific
q043;List all participants in this model! (Model ID: 0b4394edaa09437d93cc54c78c0180cb);Enumerate every participant in this model! (Model ID: 0b4394edaa09437d93cc54c78c0180cb);0b4394edaa09437d93cc54c78c0180cb;On Enabling Compliance of Cross-organizational Business Processes Fig. 1. Different levels of compliance rules in a cross-organizational setting (a);c41660388a04449a995dccf97d894f46;general
q044;Are all the tasks executable in the operation of the process in this model? (Model ID: 0b4394edaa09437d93cc54c78c0180cb);Can every task be executed during process operation in this model? (Model ID: 0b4394edaa09437d93cc54c78c0180cb);0b4394edaa09437d93cc54c78c0180cb;On Enabling Compliance of Cross-organizational Business Processes Fig. 1. Different levels of compliance rules in a cross-organizational setting (a);c41660388a04449a995dccf97d894f46;general
q045;Is task 'M5' always reachable from task 'M1' in this model? (Model ID: 0b4394edaa09437d93cc54c78c0180cb);Is the task 'M5' always reachable from task 'M1' in this model? (Model ID: 0b4394edaa09437d93cc54c78c0180cb);0b4394edaa09437d93cc54c78c0180cb;On Enabling Compliance of Cross-organizational Business Processes Fig. 1. Different levels of compliance rules in a cross-organizational setting (a);c41660388a04449a995dccf97d894f46;model-specific
q046;In this model, how many ways are there for the choreography to execute? (Model ID: fbb0adafe6924f58ac902063a36646fe);For this model, how many possible execution paths does the choreography have? (Model ID: fbb0adafe6924f58ac902063a36646fe);fbb0adafe6924f58ac902063a36646fe;Choreographiedagramm Hochschulbewerbung;2dafb1f0acb24b27ae8f0dc47d14fcaa;general
q047;Which model has an exclusive gateway called 'Unterlagen vollstündig?'?;What model includes an exclusive gateway named 'Unterlagen vollstüdnig?'?;fbb0adafe6924f58ac902063a36646fe;Choreographiedagramm Hochschulbewerbung;2dafb1f0acb24b27ae8f0dc47d14fcaa;model-specific
q048;In this model, can we always execute the task 'Absage senden'? (Model ID: fbb0adafe6924f58ac902063a36646fe);For this model, is it always possible to perform the task 'Absaage senden'? (Model ID: fbb0adafe6924f58ac902063a36646fe);fbb0adafe6924f58ac902063a36646fe;Choreographiedagramm Hochschulbewerbung;2dafb1f0acb24b27ae8f0dc47d14fcaa;model-specific
q049;In this model, list all tasks that have 'Hochschule' and 'Bewerber' as participants! (Model ID: fbb0adafe6924f58ac902063a36646fe);For this model, enumerate all tasks with 'Hchschule' and 'Biwerber' as participants! (Model ID: fbb0adafe6924f58ac902063a36646fe);fbb0adafe6924f58ac902063a36646fe;Choreographiedagramm Hochschulbewerbung;2dafb1f0acb24b27ae8f0dc47d14fcaa;model-specific
q050;How many sequence flows are in this model? (Model ID: fbb0adafe6924f58ac902063a36646fe);What is the count of sequence flows in this model? (Model ID: fbb0adafe6924f58ac902063a36646fe);fbb0adafe6924f58ac902063a36646fe;Choreographiedagramm Hochschulbewerbung;2dafb1f0acb24b27ae8f0dc47d14fcaa;general
