question id;question;organization_id;category
q051;How many models are there in the organization? (Organization ID: 4d36ddb24c9e4cc38572abbd646c1e58);4d36ddb24c9e4cc38572abbd646c1e58;specific organization, generic
q052;What language do the models in the organization use? (Organization ID: 4d36ddb24c9e4cc38572abbd646c1e58);4d36ddb24c9e4cc38572abbd646c1e58;specific organization, generic
q053;Which organization has the model 'Reisebro (Kopie)'?;4d36ddb24c9e4cc38572abbd646c1e58;specific organization, generic
q054;List all organizations that have the same amount of models this organization. (Organization ID: 4d36ddb24c9e4cc38572abbd646c1e58);4d36ddb24c9e4cc38572abbd646c1e58;specific organization, generic
q055;What is the time difference between the earliest and the latest model's creation date of this organization? (Organization ID: 4d36ddb24c9e4cc38572abbd646c1e58);4d36ddb24c9e4cc38572abbd646c1e58;specific organization, generic
q056;Which organization has the most models?;-;general, generic
q057;Which organization has the model with the earliest creation date?;-;general, generic
q058;List all organizations between 5 and 10 models.;-;general, generic
q059;List all organizations that have models about restaurants.;-;general, domain-specific
q060;Which organizations have models about universities?;-;general, domain-specific
q061;Which models in the organization have tasks where travel agencies are participants? (Organization ID: 4d36ddb24c9e4cc38572abbd646c1e58);4d36ddb24c9e4cc38572abbd646c1e58;specific organization, domain-specific
q062;Which models in the organization include parallel execution? (Organization ID: 4d36ddb24c9e4cc38572abbd646c1e58);4d36ddb24c9e4cc38572abbd646c1e58;specific organization, generic
q063;List all occurences of airlines as participants of tasks in the organization! (Organization ID: 4d36ddb24c9e4cc38572abbd646c1e58);4d36ddb24c9e4cc38572abbd646c1e58;specific organization, domain-specific
q064;Based on the models of this organization, what could be the profile of the organization? (Organization ID: 4d36ddb24c9e4cc38572abbd646c1e58);4d36ddb24c9e4cc38572abbd646c1e59;specific organization, generic
q065;In which model of the organization does the customers have the least amount of tasks they participate in? (Organization ID: 4d36ddb24c9e4cc38572abbd646c1e58);4d36ddb24c9e4cc38572abbd646c1e60;specific organization, generic
q066;Based on the models of this organization, is there a sole profile of the organization? (Organization ID: 38b17e822a5e4307ae051694293e4d0f);38b17e822a5e4307ae051694293e4d0f;specific organization, domain-specific
q067;Which models of the organization have tasks about making offers?  (Organization ID: 38b17e822a5e4307ae051694293e4d0f);38b17e822a5e4307ae051694293e4d0f;specific organization, domain-specific
q068;Which models of the organization include financial tasks?  (Organization ID: 38b17e822a5e4307ae051694293e4d0f);38b17e822a5e4307ae051694293e4d0f;specific organization, domain-specific
q069;List the organization's models about organ transportation. (Organization ID: 38b17e822a5e4307ae051694293e4d0f);38b17e822a5e4307ae051694293e4d0f;specific organization, domain-specific
q070;What is the language of the organization's models? (Organization ID: 38b17e822a5e4307ae051694293e4d0f);38b17e822a5e4307ae051694293e4d0f;specific organization, generic
q071;In which cases do we need to involve a Service-Techniker for solving a problem? (Organization ID: 1fcd4973039d4c648b9c4535154699d4);1fcd4973039d4c648b9c4535154699d4;specific organization, domain-specific